Complexity,Loss,Equation
1,0.9633754,"-0.2527473"
2,0.9357892,"square(x0)"
3,0.47958034,"x1 * 1.1476911"
5,0.4676126,"(x1 - 0.10932909) * 1.1078879"
6,0.015479766,"square(x0) + (-0.48452023 + x1)"
