Complexity,Loss,Equation
1,0.50873905,"x1"
3,0.49441516,"x1 * 1.1558949"
5,0.49016318,"(1.1200455 * x1) + -0.13039602"
6,3.5969013e-5,"(x1 - 0.49996403) + square(x0)"
