Complexity,Loss,Equation
1,0.9633754,"-0.2515377"
2,0.9357894,"square(x0)"
3,0.47977075,"x1 - 0.15049486"
5,0.46748844,"(0.11736843 - x1) * -1.1015134"
6,1.9088295e-5,"square(x0) - (0.5000191 - x1)"
