Complexity,Loss,Equation
1,0.9013294,"-0.19598065"
2,0.81639135,"square(x0)"
3,0.49443358,"x1 * 1.1575025"
5,0.48955783,"(x1 * 1.1500148) - 0.13726254"
6,0.039519276,"square(x0) - (0.46048072 - x1)"
