Complexity,Loss,Equation
1,0.9013294,"-0.19846392"
2,0.8163914,"square(x0)"
3,0.49532074,"x1 + -0.11189646"
5,0.4897392,"-0.13960195 - (x1 * -1.1553108)"
6,0.44445056,"square(x0) - (x1 * -1.3431541)"
