Complexity,Loss,Equation
1,0.9013294,"-0.20119178"
2,0.81639135,"square(x0)"
3,0.49532074,"-0.11372909 + x1"
5,0.489602,"(x1 * 1.1476445) + -0.13871695"
6,0.04245913,"square(x0) + (-0.54245913 + x1)"
