drift_target,drift_z,mlp_excess_harm,mlp_pred_std,mlp_test_r2,ridge_pred_std,ridge_test_r2,seed,trial,weighted_drift_score,y_test_std
none,0.0,0.0019054300124187185,9.652146472993362,0.9870098971273323,9.665432152792112,0.988915327139751,0,0,0.014470570592664789,9.848015463590245
none,0.0,0.0014209640080908859,9.995035784474592,0.9887858390399693,9.984122451359537,0.9902068030480602,0,1,0.024831000351136754,10.031423187838076
none,0.0,0.0023821752144723707,10.001981403876464,0.9871521833932547,9.978562819575272,0.9895343586077271,0,2,0.061633914332500796,10.048292495002038
dominant,0.0,0.0019054300124187185,9.652146472993362,0.9870098971273323,9.665432152792112,0.988915327139751,0,0,0.014470570592664789,9.848015463590245
dominant,0.0,0.0014209640080908859,9.995035784474592,0.9887858390399693,9.984122451359537,0.9902068030480602,0,1,0.024831000351136754,10.031423187838076
dominant,0.0,0.0023821752144723707,10.001981403876464,0.9871521833932547,9.978562819575272,0.9895343586077271,0,2,0.061633914332500796,10.048292495002038
dominant,1.0,0.004098204780734083,9.399501201288134,0.9848140062639776,9.665432152792112,0.9889122110447117,0,0,0.9729166201761119,9.848015463590245
dominant,1.0,0.0037862322369281998,9.678252939978567,0.9864158628910682,9.984122451359537,0.9902020951279964,0,1,1.0057996735679398,10.031423187838076
dominant,1.0,0.004681729861271355,9.680536206544804,0.9848667279004584,9.978562819575272,0.9895484577617297,0,2,0.9927379350053767,10.04829249500204
dominant,2.0,0.01738601092908343,8.907554234648881,0.9715225997407518,9.665432152792112,0.9889086106698353,0,0,1.9313626697595605,9.848015463590245
dominant,2.0,0.02056555450364328,8.93688263528837,0.9696220348152899,9.984122451359537,0.9901875893189331,0,1,1.9867683467847415,10.031423187838076
dominant,2.0,0.02347986211278652,8.923689679786,0.9660816589926697,9.978562819575274,0.9895615211054563,0,2,1.9238419556782524,10.048292495002038
dominant,3.0,0.056480371100773086,8.437165992982017,0.9324241549143486,9.665432152792112,0.9889045260151217,0,0,2.889808719343006,9.848015463590245
dominant,3.0,0.08116620892616833,8.210458523344565,0.9089970766947021,9.984122451359537,0.9901632856208704,0,1,2.9677370200015414,10.031423187838076
dominant,3.0,0.08455295615307634,8.234438880246026,0.9050205924858303,9.978562819575272,0.9895735486389067,0,2,2.8549459763511282,10.04829249500204
dominant,5.0,0.2892441522733957,8.028301665998104,0.6996507515927872,9.66543215279211,0.988894903866183,0,0,4.806700818509901,9.848015463590245
dominant,5.0,0.48242496164014814,7.495838413022563,0.5076603229175984,9.984122451359537,0.9900852845577466,0,1,4.9296743664351395,10.031423187838076
dominant,5.0,0.46898168593968326,7.641334381068647,0.5206128103352958,9.978562819575272,0.9895944962749791,0,2,4.717154017696879,10.048292495002038
dominant,7.0,0.7869121613356512,7.964074885717249,0.2019711832622444,9.665432152792112,0.9888833445978956,0,0,6.723592917676797,9.848015463590245
dominant,7.0,1.4080185787404917,7.3534597995058615,-0.41805048680186685,9.984122451359536,0.9899680919386248,0,1,6.891611712868748,10.031423187838076
dominant,7.0,1.2921254760444727,7.629588888510782,-0.3025141753745255,9.978562819575272,0.9896113006699471,0,2,6.579362059042634,10.048292495002038
dominant,10.0,2.036442122581095,7.97243644627967,-1.047579748984409,9.665432152792112,0.988862373596686,0,0,9.59893106642713,9.848015463590245
dominant,10.0,3.827279344491593,7.348181219551903,-2.8375605256491467,9.984122451359537,0.9897188188424461,0,1,9.834517732519158,10.031423187838076
dominant,10.0,3.3317917057853883,7.669899910481829,-2.3421629671000606,9.978562819575272,0.989628738685328,0,2,9.372674121061248,10.04829249500204
dominant,15.0,5.454590577109682,7.976267366035172,-4.465772840778422,9.665432152792112,0.9888177363312604,0,0,14.391161314344359,9.848015463590247
dominant,15.0,10.569802487702331,7.349903377367328,-9.580695081800172,9.984122451359532,0.9891074059021587,0,1,14.73936109860317,10.031423187838076
dominant,15.0,8.811485199960352,7.7033814414957495,-7.821848114121577,9.978562819575274,0.9896370858387739,0,2,14.02819422442562,10.048292495002038
dominant,20.0,10.543156288685296,7.976755716328147,-9.55439529661539,9.665432152792112,0.988760992069906,0,0,19.183391562261605,9.848015463590247
dominant,20.0,20.70109514346928,7.3499825259478175,-19.712844097732397,9.984122451359536,0.9882510457368846,0,1,19.644204464687174,10.031423187838076
dominant,20.0,16.86777036270734,7.719400752112158,-15.878150824972025,9.978562819575272,0.9896195377353167,0,2,18.68371432779001,10.048292495002036
noise,0.0,0.0019054300124187185,9.652146472993362,0.9870098971273323,9.665432152792112,0.988915327139751,0,0,0.014470570592664789,9.848015463590245
noise,0.0,0.0014209640080908859,9.995035784474592,0.9887858390399693,9.984122451359537,0.9902068030480602,0,1,0.024831000351136754,10.031423187838076
noise,0.0,0.0023821752144723707,10.001981403876464,0.9871521833932547,9.978562819575272,0.9895343586077271,0,2,0.061633914332500796,10.048292495002038
noise,1.0,0.001783913622816491,9.624442651367321,0.9871355797984565,9.665432152792112,0.9889194934212729,0,0,0.02409150257366963,9.848015463590245
noise,1.0,0.0015460340278583562,9.954772469451411,0.9886443473740051,9.984122451359537,0.9901903814018634,0,1,0.03448483950715802,10.031423187838076
noise,1.0,0.002212843580584156,9.961822348231346,0.9873051785913378,9.978562819575272,0.989518022171922,0,2,0.0713563110373229,10.04829249500204
noise,2.0,0.0025278134388676543,9.554558281735995,0.9863944624168188,9.665432152792112,0.9889222758556865,0,0,0.03371243455467448,9.848015463590245
noise,2.0,0.001999297839823666,9.878227255048818,0.9881425106956333,9.984122451359537,0.990141808535457,0,1,0.04413867866317929,10.031423187838076
noise,2.0,0.002282327311335819,9.83059698356841,0.9872181579325053,9.978562819575272,0.9895004852438412,0,2,0.08107870774214498,10.048292495002038
noise,3.0,0.0039040084426423816,9.485270700589153,0.9850196660003492,9.665432152792112,0.9889236744429916,0,0,0.043333366535679325,9.848015463590245
noise,3.0,0.0025326613996589087,9.826778498231013,0.987528423049182,9.984122451359537,0.9900610844488409,0,1,0.05379251781920059,10.031423187838076
noise,3.0,0.0035234498179196327,9.676228512709441,0.9859582980055653,9.978562819575274,0.989481747823485,0,2,0.09080110444696707,10.048292495002038
noise,5.0,0.006680618703931995,9.391106517041106,0.9822417013723443,9.665432152792112,0.9889223200762763,0,0,0.06257523049768904,9.848015463590245
noise,5.0,0.0031807667025468556,9.834372616790118,0.9866224159124328,9.984122451359537,0.9898031826149797,0,1,0.07310019613124304,10.031423187838076
noise,5.0,0.006822830460057605,9.444685573859202,0.9826178410458882,9.978562819575274,0.9894406715059458,0,2,0.11024589785661133,10.048292495002038
noise,7.0,0.007916001258699845,9.33223709218972,0.9809994290624277,9.665432152792112,0.9889154303211275,0,0,0.0818170944596987,9.848015463590245
noise,7.0,0.0037440549286658076,9.860920545349632,0.985672620971614,9.984122451359537,0.9894166759002798,0,1,0.09240787444328556,10.031423187838076
noise,7.0,0.009761141446874344,9.342863594970558,0.9796336517724302,9.978562819575272,0.9893947932193046,0,2,0.12969069126625554,10.048292495002038
noise,10.0,0.008311382598947925,9.276905678151666,0.9805833342361432,9.665432152792112,0.9888947168350911,0,0,0.1106798904027132,9.848015463590245
noise,10.0,0.0036904836286785203,9.87213655754347,0.984905298047979,9.984122451359537,0.9885957816766575,0,1,0.12136939191134952,10.031423187838076
noise,10.0,0.012458766269284549,9.273561502724416,0.9768582058279918,9.978562819575272,0.9893169720972763,0,2,0.1588578813807218,10.048292495002038
noise,15.0,0.011119414153733742,9.136888633789182,0.9777131032624617,9.665432152792112,0.9888325174161955,0,0,0.15878455030773747,9.848015463590245
noise,15.0,0.0010494143891141006,9.825080714645303,0.9855351858439795,9.984122451359537,0.9865846002330936,0,1,0.1696385876914561,10.031423187838076
