dgp,drift_z,logreg_logloss,mlp_excess_logloss,mlp_logloss,n_test_class1,n_train_class1,seed,trial,weighted_drift_score
linear_binary,0.0,0.6754514116495423,0.003646570798611748,0.679097982448154,249,1003,0,0,0.0637195474504317
linear_binary,0.0,0.6842659572175512,-0.0021699146309928086,0.6820960425865584,239,992,0,1,0.014995195559417258
linear_binary,0.0,0.6864995346147884,-0.004021181079194691,0.6824783535355937,267,991,0,2,0.04292417285833347
linear_binary,1.0,0.6586546157439398,0.006499012783610536,0.6651536285275503,286,1003,0,0,0.6731271768668703
linear_binary,1.0,0.6802766426770936,-0.002784542137035273,0.6774921005400584,277,992,0,1,0.7008745266981906
linear_binary,1.0,0.6606809717029936,-0.005047304901563687,0.6556336668014299,302,991,0,2,0.7755042051830702
linear_binary,2.0,0.6283336296722052,0.010739813360700734,0.6390734430329059,327,1003,0,0,1.3861261933602473
linear_binary,2.0,0.6547234479100816,0.0029151351492253674,0.657638583059307,316,992,0,1,1.4049520698467526
linear_binary,2.0,0.6238299199344133,-0.004199385429349722,0.6196305345050636,333,991,0,2,1.5080842375078067
linear_binary,3.0,0.5695739712156297,0.012667332016953692,0.5822413032325834,365,1003,0,0,2.0991252098536277
linear_binary,3.0,0.592326499968347,0.023304594229161757,0.6156310941975087,355,992,0,1,2.109029612995315
linear_binary,3.0,0.5672498752449642,-0.001242342843407962,0.5660075324015562,366,991,0,2,2.2406642698325396
linear_binary,5.0,0.43966721521586705,0.02876882567665623,0.4684360408925233,415,1003,0,0,3.525123242840393
linear_binary,5.0,0.4413967414517953,0.06921175042435967,0.510608491876155,416,992,0,1,3.517184699292438
linear_binary,5.0,0.4242460361733225,-0.0027710230041111394,0.4214750131692114,424,991,0,2,3.705824334482016
linear_binary,7.0,0.315955164000796,0.038127178085789026,0.354082342086585,451,1003,0,0,4.951121275827148
linear_binary,7.0,0.3218725326300119,0.10313855197946342,0.42501108460947534,449,992,0,1,4.925339785589562
linear_binary,7.0,0.2996617643586474,-0.002375352010926368,0.297286412347721,455,991,0,2,5.1709843991314886
linear_binary,10.0,0.1499339533791196,0.04819952200945504,0.19813347538857465,483,1003,0,0,7.0901183253072775
linear_binary,10.0,0.16712669875522315,0.1340077650476124,0.30113446380283554,480,992,0,1,7.0375724150352506
linear_binary,10.0,0.12474842332523203,-0.00291665110762708,0.12183177221760495,487,991,0,2,7.368724496105694
linear_binary,15.0,0.02676783848601831,0.03376771350492013,0.06053555199093844,498,1003,0,0,10.655113407774166
linear_binary,15.0,0.07502514263162645,0.10581438038100226,0.1808395230126287,493,992,0,1,10.557960130778055
linear_binary,15.0,0.038263841403290005,-0.00047792228855405433,0.03778591911473595,497,991,0,2,11.031624657729374
linear_binary,20.0,0.001910371574845948,0.018065166329079514,0.019975537903925464,500,1003,0,0,14.220108490241065
linear_binary,20.0,0.039943571966225715,0.06826229457648156,0.10820586654270727,497,992,0,1,14.078347846520847
linear_binary,20.0,0.0025668664715686614,-0.00014754368328695998,0.0024193227882817014,500,991,0,2,14.694524819353038
interaction_binary,0.0,0.6875055266528382,-0.04005087845691602,0.6474546481959221,240,1008,0,0,0.02311808915345168
interaction_binary,0.0,0.6886080040583428,-0.050551865654352546,0.6380561384039902,235,1012,0,1,0.032866093158522756
interaction_binary,0.0,0.6811987112398202,-0.03791182717991437,0.6432868840599059,229,966,0,2,0.05367608201306045
interaction_binary,1.0,0.6855787838767606,-0.06619241305521295,0.6193863708215477,274,1008,0,0,0.7310526079653298
interaction_binary,1.0,0.6930981986286968,-0.07690877014719821,0.6161894284814986,271,1012,0,1,0.6963441916673486
interaction_binary,1.0,0.6914166134537834,-0.06572079301348477,0.6256958204402986,258,966,0,2,0.7629429988882379
interaction_binary,2.0,0.6731646695937041,-0.14167489104438713,0.531489778549317,289,1008,0,0,1.4389871267772079
interaction_binary,2.0,0.689900742654065,-0.12971650578815275,0.5601842368659122,295,1012,0,1,1.4059491758861002
interaction_binary,2.0,0.6925187281590648,-0.10980142295771966,0.5827173052013451,276,966,0,2,1.4722099157634128
interaction_binary,3.0,0.6762389672080016,-0.17907916055911283,0.49715980664888876,294,1008,0,0,2.1469216455890887
interaction_binary,3.0,0.6769510924969454,-0.18128626702798767,0.49566482546895774,318,1012,0,1,2.115554160104852
interaction_binary,3.0,0.6913696174777626,-0.15197950850187247,0.5393901089758901,288,966,0,2,2.1814768326385914
interaction_binary,5.0,0.7097719579185009,-0.21295333478035705,0.49681862313814384,298,1008,0,0,3.5627906832128446
interaction_binary,5.0,0.6988682408826548,-0.23985375149839344,0.4590144893842613,320,1012,0,1,3.534764128542356
interaction_binary,5.0,0.70912409210795,-0.20302926697212764,0.5060948251358224,289,966,0,2,3.6000106663889446
interaction_binary,7.0,0.766589626415061,-0.22010293079142684,0.5464866956236342,301,1008,0,0,4.978659720836603
interaction_binary,7.0,0.7396323307808081,-0.28704141470549366,0.4525909160753145,324,1012,0,1,4.953974096979859
interaction_binary,7.0,0.7399194162590493,-0.23937686422149484,0.5005425520375545,293,966,0,2,5.018544500139298
interaction_binary,10.0,0.8858732985739161,-0.2081353681858098,0.6777379303881063,306,1008,0,0,7.102463277272241
interaction_binary,10.0,0.8606309118370807,-0.38674004034202947,0.47389087149505127,322,1012,0,1,7.082789049636122
interaction_binary,10.0,0.8261457715355857,-0.33281043069973937,0.4933353408358463,293,966,0,2,7.146345250764831
interaction_binary,15.0,1.1810338189123868,-0.15333184436411873,1.027701974548268,306,1008,0,0,10.642135871331634
interaction_binary,15.0,1.1065427213874413,-0.5829918917313499,0.5235508296560913,326,1012,0,1,10.630813970729879
interaction_binary,15.0,1.0220516910394268,-0.5303775245573084,0.4916741664821184,296,966,0,2,10.692679835140712
interaction_binary,20.0,1.5316357628352584,-0.08316073959442005,1.4484750232408383,305,1008,0,0,14.181808465391022
interaction_binary,20.0,1.4107559478876983,-0.8012376791075378,0.6095182687801605,327,1012,0,1,14.178838891823615
interaction_binary,20.0,1.2830482115108126,-0.7908936152491205,0.4921545962616921,295,966,0,2,14.239014419516591
sinusoidal_binary,0.0,0.42416950742457005,0.005203654037640115,0.42937316146221016,275,978,0,0,0.08065432756321075
sinusoidal_binary,0.0,0.3996390713603123,0.19714212935259778,0.5967812007129101,240,1054,0,1,0.06149802062227189
sinusoidal_binary,0.0,0.38906410355679166,0.13785996926050614,0.5269240728172978,248,987,0,2,0.05610030670994834
sinusoidal_binary,1.0,0.29886528879149105,0.01145170813690205,0.3103169969283931,414,978,0,0,0.8148486726018282
sinusoidal_binary,1.0,0.3751977828710955,0.1802845196566364,0.5554823025277319,384,1054,0,1,0.6790427884360914
